node_id,flood_bool
10004,0.0
10005,0.0
10006,0.0
10011,0.0
10015,0.0
10019,0.0
10020,0.0
10021,0.0
10022,0.0
10023,0.0
10033,0.0
100A,0.0
100B,0.0
101A,0.0
101B,0.0
10575,0.0
10576,0.0
10577,0.0
10577dd,0.0
10578,0.0
10579,0.0
10610,0.0
10611,0.0
10613,0.0
10634,0.0
10635,0.0
10636,0.0
10766,0.0
10777,0.0
10777dd,0.0
10778,0.0
10797,0.0
10832,0.0
10833,0.0
10844,0.0
10844b,0.0
10845,0.0
10847,0.0
10848,0.0
10849,0.0
10850,0.0
10851,0.0
10853,0.0
10854,0.0
10855,0.0
10859b,1.0
10859c,1.0
10879,0.0
10881,0.0
10883,0.0
10884,0.0
10890,0.0
23001,0.0
23002,0.0
23003,0.0
23004,0.0
23005,0.0
23006,0.0
23007,0.0
23009,0.0
23010,0.0
23011,0.0
23012,0.0
23013,0.0
23014,0.0
23015,0.0
23016,1.0
23017,1.0
23018,0.0
23019,1.0
23020,1.0
23021,1.0
23022,1.0
23023,1.0
23024,1.0
23025,1.0
23026,1.0
23027,1.0
23028,1.0
23029,1.0
23030,1.0
23031,0.0
23032,0.0
23033,0.0
23034,0.0
23035,0.0
23036,1.0
23037,0.0
23038,1.0
23039,1.0
23041,1.0
23042,1.0
23043,1.0
23044,1.0
23045,1.0
23046,1.0
23047,1.0
23048,1.0
23049,1.0
23050,0.0
23051,0.0
23052,0.0
23053,0.0
23054,0.0
23055,1.0
23057,0.0
23058,0.0
23059,0.0
23059d1,0.0
23059d2,0.0
23060,1.0
23061,0.0
23062,0.0
23063,1.0
23064,1.0
23065,1.0
23069,1.0
23070,0.0
23071,0.0
23072,0.0
23073,1.0
23074,1.0
23075,1.0
23076,1.0
23077,1.0
23078,1.0
23079,1.0
23080,1.0
23081,1.0
23082,1.0
23083,1.0
23084,1.0
23085,1.0
23086,1.0
23087,1.0
23088,1.0
23088d1,1.0
23088d2,1.0
23089,1.0
23090,0.0
23091,0.0
23092,0.0
23093,0.0
23094,0.0
23095,1.0
23096,0.0
23097,1.0
23098,1.0
23099,1.0
23100,1.0
23102,1.0
23103,1.0
23104,1.0
23105,1.0
23106,1.0
23107,1.0
23108,1.0
23109,1.0
23110,1.0
23110d1,1.0
23110d2,1.0
23111,1.0
23112,1.0
23113,1.0
23114,1.0
23115,1.0
23116,1.0
23117,1.0
23118,1.0
23119,1.0
23119d1,1.0
23119d2,1.0
23120,1.0
23121,1.0
23121d1,1.0
23121d2,1.0
23122,1.0
23123,1.0
23124,1.0
23125,1.0
23126,1.0
23127,1.0
23128,0.0
23129,1.0
23130,0.0
23131,1.0
23132,1.0
23133,1.0
23134,1.0
23135,1.0
23136,1.0
23137,1.0
23138,1.0
23139,1.0
23140,1.0
23141,1.0
23142,1.0
23143,1.0
23144,1.0
23145,0.0
23146,1.0
23147,1.0
23148,1.0
23149,1.0
23150,1.0
23151,1.0
23152,1.0
23153,1.0
23153d1,1.0
23154,1.0
23155,1.0
23156,1.0
23157,1.0
23158,1.0
23159,1.0
23159d1,1.0
23159d2,1.0
23160,1.0
23161,1.0
23162,1.0
23163,1.0
23164,0.0
23165,0.0
23166,0.0
23167,0.0
23168,0.0
23169,1.0
23170,1.0
23171,1.0
23172,1.0
23173,1.0
23174,1.0
23175,1.0
23176,0.0
23177,0.0
23178,0.0
23179,1.0
23180,0.0
23181,1.0
23182,1.0
23183,1.0
23184,1.0
23185,0.0
23186,0.0
23187,1.0
23188,1.0
23189,0.0
23190,1.0
23191,1.0
23192,1.0
23193,1.0
23194,1.0
23195,1.0
23196,1.0
23197,1.0
23198,1.0
23199,1.0
23200,1.0
23200d1,1.0
23201,1.0
23202,1.0
23203,0.0
23205,1.0
23206,1.0
23207,1.0
23208,1.0
23209,1.0
23210,1.0
23211,1.0
23212,1.0
23213,1.0
23214,1.0
23215,1.0
23216,1.0
23217,0.0
23218,0.0
23219,0.0
23220,0.0
23221,0.0
23222,0.0
23223,0.0
23224,0.0
23225,0.0
23226,0.0
23227,0.0
23229,0.0
23230,0.0
23231,0.0
23232,0.0
23232d1,0.0
23232d2,0.0
23233,1.0
23234,1.0
23235,0.0
23236,0.0
23237,0.0
23238,0.0
23239,0.0
23240,1.0
23241,0.0
23242,0.0
23243,1.0
23244,0.0
23245,0.0
23246,0.0
23247,0.0
23248,0.0
23249,1.0
23250,0.0
23251,0.0
23252,0.0
23253,0.0
23254,0.0
23255,0.0
23256,0.0
23257,1.0
23258,1.0
23259,0.0
23260,0.0
23261,1.0
23262,1.0
23263,1.0
23264,1.0
23265,1.0
23267,1.0
23268,1.0
23269,1.0
23270,1.0
23313,1.0
23314,1.0
23315,1.0
23316,1.0
23317,1.0
23318,1.0
23319,0.0
23320,1.0
23321,1.0
23322,1.0
23323,1.0
23324,1.0
23325,1.0
23326,1.0
23327,1.0
23327d1,1.0
23327d2,1.0
23328,1.0
23329,1.0
23330,1.0
23331,1.0
23332,1.0
23333,1.0
23334,1.0
23335,0.0
23336,0.0
23337,0.0
23338,0.0
23339,0.0
23340,0.0
23341,0.0
23342,0.0
23344,0.0
23346,0.0
23347,0.0
