node_id,rg_id
10832,248
10833,248
10832,249
10833,249
10879,249
43922,249
10576,249
10578,249
10578,249
10634,249
10634,249
43922,250
10578,250
10766,250
10832,264
10833,264
44034,264
44455,265
43323,265
41289,265
43529,265
43324,265
43325,265
43326,265
43327,265
5963,265
43330,265
43331,265
10578,265
43535,265
43053,265
43332,265
43536,265
43333,265
43537,265
43055,265
43537d1,265
43538,265
43539,265
10634,265
43338,265
43540d1,265
10797,265
43540d2,265
43340,265
43541d1,265
10832,265
43541d2,265
41174,265
43542,265
43543,265
43346,265
43347,265
43549,265
43348,265
43550,265
41862,265
43563,265
43564,265
43565,265
43565d1,265
43566,265
43567,265
43569,265
43368,265
43369,265
43370,265
43371,265
43372,265
43314,265
43315,265
43316,265
43317,265
43318,265
43319,265
43320,265
43321,265
43322,265
43563,266
43566,266
10578,266
10610,266
10611,266
10613,266
43310,266
43311,266
10766,266
43312,266
43313,266
43176,266
10797,266
43314,266
43177,266
43178,266
43179,266
43180,266
43181,266
43182,266
43183,266
43184,266
43185,266
43186,266
43187,266
43188,266
43189,266
43593,266
43059,266
43060,266
43597,266
43061,266
43062,266
43333,266
43334,266
43063,266
43335,266
43336,266
43337,266
43603,266
43338,266
43604d1,266
43604d2,266
43605d1,266
43605d2,266
43606,266
43608,266
43609,266
43610,266
43611d1,266
43611d2,266
43612,266
43613d1,266
43613d2,266
43614d1,266
43086,266
43373,266
43099,266
43374,266
43375,266
43376,266
43377,266
43378,266
43379,266
43380,266
43108,266
43111,266
43387,266
43388,266
43389,266
43551,266
43552,266
43555,266
43556,266
43557,266
43558,266
43559,266
43015,266
43560,266
43562,266
10610,267
10611,267
42045,280
40936,280
40937d1,280
40937d2,280
40939,280
40940,280
40941,280
40942,280
40946,280
40947,280
42084,280
40980,280
40984,280
40985,280
40986,280
40987,280
40989,280
42111,280
40990d1,280
42112,280
40990d2,280
42113,280
40991,280
42114,280
40992,280
42115,280
40993,280
40994,280
40995,280
40996,280
40997,280
42119,280
40998,280
40999,280
41000,280
41001,280
41002d1,280
41002d2,280
41004,280
41005,280
41006,280
41007,280
41008,280
41009,280
41010,280
41011,280
41012,280
41014,280
41015,280
41016,280
41017d1,280
41017d2,280
42156,280
42173,280
42255,280
42262,280
42263,280
42265,280
42266,280
42267,280
42269,280
42270,280
42271,280
42272,280
42273,280
42274,280
42277,280
42281,280
44606,280
M_0170,280
42283,280
44602,280
M_0166,280
44605,280
42285,280
42286,280
42287,280
8146,280
AQU025,280
41170,280
41171,280
41172,280
41174,280
41175,280
41176,280
41178,280
41179,280
41183,280
41184,280
41188d1,280
41188d2,280
41189,280
41190,280
41192,280
41193,280
41194,280
41196,280
M_0069,280
M_0072,280
M_0073,280
M_0076,280
M_0077,280
41201,280
M_0078,280
41202,280
M_0079,280
M_0167,280
M_0080,280
M_0081,280
M_0082,280
M_0085,280
M_0086,280
40074,280
M_0087,280
6133,280
M_0089,280
6137,280
M_0090,280
40075,280
M_0093,280
Brouwersvliet OV1,280
M_0095,280
Brouwersvliet OV5,280
M_0096,280
M_0097,280
M_0100,280
