Event Name,Duration (hours),Total Rainfall (mm),Max Hourly Rainfall (mm),Cumulative Laterals In (m3),Total Flood Volume (m3)
Hydrogram C_5_2030_L,13.0,46.86666666666667,15.791666666666668,253258480220.6229,3028754.0239693783
Hydrogram C_5_2050_H,13.0,54.25,18.441666666666666,293841090217.0303,4516184.151719199
Hydrogram C_5_2050_L,13.0,47.0,15.783333333333335,253989567648.16418,3037401.54432449
Hydrogram C_5_2085_H,13.0,62.31666666666666,21.458333333333332,338182730684.2449,6569201.924873563
Hydrogram C_5_2085_L,13.0,48.03333333333333,16.141666666666666,259667904941.73428,3236131.9633482723
Hydrogram LR C2100 bui 01,4.25,10.5,10.05,25536266581.85155,30917.782363322876
Hydrogram LR C2100 bui 02,4.25,10.5,8.7,23678923743.39525,30076.843651162013
Hydrogram LR C2100 bui 03,4.25,14.399999999999999,13.5,35159628685.874985,74727.80860689742
Hydrogram LR C2100 bui 04,4.25,14.399999999999999,12.6,33377040413.807068,71724.61205005743
Hydrogram LR C2100 bui 05,4.25,16.799999999999997,15.899999999999999,41660268221.51949,114079.1774568484
Hydrogram LR C2100 bui 06,4.25,16.8,14.399999999999999,38773622219.3109,109597.19194420779
Hydrogram LR C2100 bui 07,4.0,19.8,19.8,46979924770.983604,226554.08240189546
Hydrogram LR C2100 bui 08,4.0,19.8,19.8,45059328421.23567,226656.36311552493
Hydrogram LR C2100 bui 09,4.0,29.400000000000002,29.4,71360893034.77315,1020055.7817891607
Hydrogram LR C2100 bui 10,3.75,35.7,35.699999999999996,81800737789.26532,2082308.7420410472
Hydrogram Stresstestbui 01,4.0,70.0,70.0,166109008913.71234,11550560.335171938
Hydrogram Stresstestbui 02,4.0,90.0,90.0,213955657731.3632,20099690.699564546
Hydrogram Stresstestbui 03,5.0,160.0,80.0,436276696993.0223,53358210.53462616
