node_id,flood_probability_predicted
DE_101,3.087975019563944e-05
DE_102,3.928444797469671e-05
DE_103,2.827889362147309e-05
DE_104,2.611094600827428e-05
DE_105,2.7469874790829026e-05
DE_106,4.030446137388045e-05
DE_107,2.7479860671042183e-05
DE_108,3.829147765183747e-05
DE_109,3.6265971472483206e-05
DE_11,1.5050423873208353e-05
DE_110,3.9623381962582924e-05
DE_111,2.351195345728229e-05
DE_112,2.613481348056269e-05
DE_113,3.8020558785137876e-05
DE_114,3.5164593026392686e-05
DE_115,4.1653579119017046e-05
DE_116,3.785078783984148e-05
DE_118,2.6547400609703175e-05
DE_119,3.853900480250713e-05
DE_12,1.4949781589155347e-05
DE_120,3.155246289806776e-05
DE_121,3.680246125451958e-05
DE_122,1.7450237394814497e-05
DE_123,3.573982548786742e-05
DE_124,1.0001172140959757e-05
DE_125,4.611492833388199e-05
DE_126,1.6468039528601362e-05
DE_127,2.2418584709609548e-05
DE_128,3.6962787005087845e-05
DE_129,2.8686449070847687e-05
DE_13,1.4831486420810361e-05
DE_130,3.366641799205956e-05
DE_131,2.8260303789152173e-05
DE_132,4.8393970321734856e-05
DE_133,2.4130827009573597e-05
DE_134,3.056101799081525e-05
DE_135,4.7122468199001535e-05
DE_136,2.575838925998221e-05
DE_137,3.5298597691248606e-05
DE_138,3.539487333189682e-05
DE_139,2.7403356506682253e-05
DE_14,1.5401195203657424e-05
DE_140,3.5443282372279556e-05
DE_141,3.870988230390272e-05
DE_142,2.5510096047871328e-05
DE_143,1.843332114083496e-05
DE_144,3.377201403519147e-05
DE_145,2.642654774857245e-05
DE_146,4.697099777658264e-05
DE_147,6.054464746788982e-05
DE_148,2.5735651193665434e-05
DE_149,6.409531782179669e-05
DE_15,0.09781716669658877
DE_150,2.5648487364220154e-05
DE_151,8.422765181535232e-05
DE_152,5.609765416504943e-05
DE_153,4.4401666781393246e-05
DE_154,4.8704508284249515e-05
DE_155,2.4927940488530896e-05
DE_156,5.115488974946717e-05
DE_157,3.636814504621357e-05
DE_158,7.103776678279681e-05
DE_159,3.8648160272661265e-05
DE_16,4.868513023520107e-05
DE_160,3.6884732617265384e-05
DE_161,4.278689337559506e-05
DE_162,3.975623405902332e-05
DE_163,3.5959798935587954e-05
DE_164,3.3465080064704655e-05
DE_165,4.37281317737603e-05
DE_166,2.571092850742229e-05
DE_167,5.425376552200777e-05
DE_168,2.4320477543219352e-05
DE_169,2.5987257672909994e-05
DE_17,2.645508844638076e-05
DE_170,4.373351278153008e-05
DE_171,5.23434654617466e-05
DE_172,5.956804234500768e-05
DE_173,5.709710419381046e-05
DE_174,8.402917794982907e-05
DE_175,5.5958204625971924e-05
DE_177,3.4069367224814585e-05
DE_178,9.32704353295187e-05
DE_179,5.4279303436802614e-05
DE_18,3.677082193174477e-05
DE_180,3.714043682001738e-05
DE_181,2.509177500026869e-05
DE_182,3.4334599981655494e-06
DE_183,2.659988795412298e-05
DE_184,3.337423309713756e-05
DE_188,4.643564327474131e-05
DE_189,4.949117581032821e-05
DE_19,5.2452414360144956e-05
DE_190,5.505417768580656e-05
DE_191,3.180008276794828e-05
DE_192,0.0001085793201412275
DE_193,1.847523665196845e-05
DE_194,1.951558879080191e-05
DE_196,4.583800467939574e-05
DE_197,5.823329086751047e-05
DE_198,2.534548900049588e-05
DE_199,6.404332318631633e-05
DE_20,3.549461685263381e-05
DE_200,7.707080484324735e-05
DE_201,2.8103444672493355e-05
DE_202,4.8614509301035826e-05
DE_203,4.320580627213717e-05
DE_204,4.249051011546113e-05
DE_205,5.149190517651436e-05
DE_206,6.259989265978763e-05
DE_207,3.812487001681431e-05
DE_208,5.056882100171693e-05
DE_209,4.703658892344107e-05
DE_21,3.8264663277586465e-05
DE_210,4.253274120681186e-05
