node_id,flood_probability_predicted
10005,0.0007476475997972277
10006,0.0010081824538883293
10011,0.001544844463548343
10015,1.2552285737779156e-07
10019,5.131914594717217e-07
10020,3.991622630318422e-07
10021,0.0006264545566499094
10022,2.579452811641928e-07
10023,1.2398245440755285e-07
10033,8.861737201592773e-08
101A,8.383812308421813e-08
101B,8.340381795904893e-08
10575,9.498592201953085e-07
10576,4.885706280424721e-06
10578,8.977971710379585e-07
10579,8.942710990832573e-07
10610,0.0006031758087137222
10611,1.0930921000444835e-06
10613,1.4018486084520628e-06
10634,4.1650178929463095e-06
10635,8.42609660685204e-07
10636,2.1425159102447274e-06
10766,7.199479307840032e-07
10778,2.0975999561581685e-06
10797,0.002239207760288601
10832,5.371105152416631e-06
10833,9.769102589594491e-07
10845,8.386753198149597e-07
10849,8.59976437694148e-07
10853,8.599831679281082e-07
10879,4.5097415178375935e-06
10881,1.2044874314319177e-06
10883,5.472144515321055e-06
10884,9.331818944094713e-07
10890,0.0006690121234271519
23001,1.069999699090757e-05
23002,2.1191609507608468e-05
23003,3.7396820455516297e-06
23004,4.061386299211395e-06
23005,5.539217154465784e-06
23006,0.000755040778160955
23007,4.567053332437529e-06
23009,0.002237359575015691
23010,0.0004628434971585785
23011,4.350144202650879e-06
23012,0.0005791299263401472
23013,0.0005532962161937826
23014,3.7776501139476868e-06
23015,0.0012140812745548627
23016,0.08358373644190772
23017,0.16520678336156655
23018,0.00553425925691776
23019,0.152634232352032
23020,0.08469665325535848
23021,0.14799308291175736
23022,0.08867532411852266
23023,0.7189071065370919
23024,0.5897591239129824
23025,0.2003007381672994
23026,0.5573397089757501
23027,0.09980839470051553
23028,0.13725120202575228
23029,0.6690580582326022
23030,0.12851343159517148
23031,0.003067267427905479
23032,0.002315508665016262
23033,0.007066708316431234
23034,0.0020235360963380103
23035,0.0019790423825420595
23036,0.16738469122365984
23037,9.870316167981002e-06
23038,0.1461572880371638
23039,0.17655191341420726
23041,0.7442699309816202
23042,0.606262289757348
23043,0.6989366587497094
23044,0.07121679604478354
23045,0.2295581409201381
23046,0.07893242025647801
23047,0.08139142405275425
23048,0.1974501628419726
23049,0.11627485500654458
23050,0.0033027325264417128
23051,0.003457597730329008
23052,1.6980314185094254e-06
23053,4.1570664087217464e-05
23054,9.052075413315667e-06
23055,0.2109359981707001
23057,1.1566171243728345e-05
23058,0.004543704550189736
23059,0.0075231850867924065
23059d1,0.007884791914890851
23059d2,2.3147437728211497e-05
23060,0.015191191113579684
