,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
10004,8.628961201910723e-06,8.628961201910723e-06,8.628961201910723e-06,8.628961201910723e-06,8.628961201910723e-06,8.628961201910723e-06,8.628961201910723e-06,8.628961201910723e-06,8.628961201910723e-06,8.628961201910723e-06,8.628961201910723e-06,8.628961201910723e-06,8.628961201910723e-06,8.628961201910723e-06,8.628961201910723e-06,8.628961201910723e-06,8.628961201910723e-06,8.628961201910723e-06,8.628961201910723e-06,8.628961201910723e-06
10005,0.00541718493242626,0.00541718493242626,0.00541718493242626,0.00541718493242626,0.00541718493242626,0.00541718493242626,0.00541718493242626,0.00541718493242626,0.00541718493242626,0.00541718493242626,0.00541718493242626,0.00541718493242626,0.00541718493242626,0.00541718493242626,0.00541718493242626,0.00541718493242626,0.00541718493242626,0.00541718493242626,0.00541718493242626,0.00541718493242626
10006,0.007294203947527954,0.007294203947527954,0.007294203947527954,0.007294203947527954,0.007294203947527954,0.007294203947527954,0.007294203947527954,0.007294203947527954,0.007294203947527954,0.007294203947527954,0.007294203947527954,0.007294203947527954,0.007294203947527954,0.007294203947527954,0.007294203947527954,0.007294203947527954,0.007294203947527954,0.007294203947527954,0.007294203947527954,0.007294203947527954
10011,0.010003366287513811,0.010003366287513811,0.010003366287513811,0.010003366287513811,0.010003366287513811,0.010003366287513811,0.010003366287513811,0.010003366287513811,0.010003366287513811,0.010003366287513811,0.010003366287513811,0.010003366287513811,0.010003366287513811,0.010003366287513811,0.010003366287513811,0.010003366287513811,0.010003366287513811,0.010003366287513811,0.010003366287513811,0.010003366287513811
10015,1.0467612094043746e-07,1.0467612094043746e-07,1.0467612094043746e-07,1.0467612094043746e-07,1.0467612094043746e-07,1.0467612094043746e-07,1.0467612094043746e-07,1.0467612094043746e-07,1.0467612094043746e-07,1.0467612094043746e-07,1.0467612094043746e-07,1.0467612094043746e-07,1.0467612094043746e-07,1.0467612094043746e-07,1.0467612094043746e-07,1.0467612094043746e-07,1.0467612094043746e-07,1.0467612094043746e-07,1.0467612094043746e-07,1.0467612094043746e-07
10019,4.942251544324083e-07,4.942251544324083e-07,4.942251544324083e-07,4.942251544324083e-07,4.942251544324083e-07,4.942251544324083e-07,4.942251544324083e-07,4.942251544324083e-07,4.942251544324083e-07,4.942251544324083e-07,4.942251544324083e-07,4.942251544324083e-07,4.942251544324083e-07,4.942251544324083e-07,4.942251544324083e-07,4.942251544324083e-07,4.942251544324083e-07,4.942251544324083e-07,4.942251544324083e-07,4.942251544324083e-07
10020,3.8441811849247766e-07,3.8441811849247766e-07,3.8441811849247766e-07,3.8441811849247766e-07,3.8441811849247766e-07,3.8441811849247766e-07,3.8441811849247766e-07,3.8441811849247766e-07,3.8441811849247766e-07,3.8441811849247766e-07,3.8441811849247766e-07,3.8441811849247766e-07,3.8441811849247766e-07,3.8441811849247766e-07,3.8441811849247766e-07,3.8441811849247766e-07,3.8441811849247766e-07,3.8441811849247766e-07,3.8441811849247766e-07,3.8441811849247766e-07
10021,0.004541938173190622,0.004541938173190622,0.004541938173190622,0.004541938173190622,0.004541938173190622,0.004541938173190622,0.004541938173190622,0.004541938173190622,0.004541938173190622,0.004541938173190622,0.004541938173190622,0.004541938173190622,0.004541938173190622,0.004541938173190622,0.004541938173190622,0.004541938173190622,0.004541938173190622,0.004541938173190622,0.004541938173190622,0.004541938173190622
10022,2.4843241175278785e-07,2.4843241175278785e-07,2.4843241175278785e-07,2.4843241175278785e-07,2.4843241175278785e-07,2.4843241175278785e-07,2.4843241175278785e-07,2.4843241175278785e-07,2.4843241175278785e-07,2.4843241175278785e-07,2.4843241175278785e-07,2.4843241175278785e-07,2.4843241175278785e-07,2.4843241175278785e-07,2.4843241175278785e-07,2.4843241175278785e-07,2.4843241175278785e-07,2.4843241175278785e-07,2.4843241175278785e-07,2.4843241175278785e-07
10023,1.1942366333766192e-07,1.1942366333766192e-07,1.1942366333766192e-07,1.1942366333766192e-07,1.1942366333766192e-07,1.1942366333766192e-07,1.1942366333766192e-07,1.1942366333766192e-07,1.1942366333766192e-07,1.1942366333766192e-07,1.1942366333766192e-07,1.1942366333766192e-07,1.1942366333766192e-07,1.1942366333766192e-07,1.1942366333766192e-07,1.1942366333766192e-07,1.1942366333766192e-07,1.1942366333766192e-07,1.1942366333766192e-07,1.1942366333766192e-07
