!Version=1,type=LEV,encoding=MBCS
FILECONT, TITLE
3,1
UserSettings,U_VALUES,U_DATETIME
UserSettingsValues,m AD,dd-mm-yyyy hh:mm
G_START,G_TS,G_NPROFILES,G_DATATYPE
00/00/0000 00:00:00,300,21,    0
L_NODEID,L_PIPELEVEL,L_PTITLE
SM06003201,  0.000,        
SR06987501,  0.000,        
SR05967203,  0.000,        
SR05967204,  0.000,        
SR05967205,  0.000,        
LO_GR_218,  0.000,        
SM10001202,  0.000,        
SR11963501,  0.000,        
SR09986101,  0.000,        
SR07937404,  0.000,        
SR06939113,  0.000,        
SR06937110,  0.000,        
SR06937111,  0.000,        
SR06936107,  0.000,        
SR06935211,  0.000,        
SR06934242,  0.000,        
DE_RWZI_LOZ_TSK,  0.000,        
SM10001104,  0.000,        
SM07006201,  0.000,        
 OA_DUM7,  0.000,        
SR05948309,  0.000,        
P_DATETIME,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
00/00/0000 02:25:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.890000,5.900000,3.750000,3.750000,3.750000,3.750000,3.750000,3.750000,3.750000,3.750000,6.000000,6.000000,4.600000,4.600000
00/00/0000 02:30:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.900000,5.900000,3.718750,3.718750,3.718750,3.718750,3.718750,3.718750,3.718750,3.718750,6.000000,6.000000,4.600000,4.600000
00/00/0000 02:35:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.900000,5.900000,3.687500,3.687500,3.687500,3.687500,3.687500,3.687500,3.687500,3.687500,6.000000,6.000000,4.600000,4.600000
00/00/0000 02:40:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.900000,5.900000,3.656250,3.656250,3.656250,3.656250,3.656250,3.656250,3.656250,3.656250,6.000000,6.000000,4.600000,4.600000
00/00/0000 02:45:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.900000,5.900000,3.625000,3.625000,3.625000,3.625000,3.625000,3.625000,3.625000,3.625000,6.000000,6.000000,4.600000,4.600000
00/00/0000 02:50:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.900000,5.900000,3.593750,3.593750,3.593750,3.593750,3.593750,3.593750,3.593750,3.593750,6.000000,6.000000,4.600000,4.600000
00/00/0000 02:55:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.900000,5.900000,3.562500,3.562500,3.562500,3.562500,3.562500,3.562500,3.562500,3.562500,6.000000,6.000000,4.600000,4.600000
00/00/0000 03:00:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.900000,5.900000,3.531250,3.531250,3.531250,3.531250,3.531250,3.531250,3.531250,3.531250,6.000000,6.000000,4.600000,4.600000
00/00/0000 03:05:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.910000,5.900000,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,3.500000,6.000000,6.000000,4.600000,4.600000
00/00/0000 03:10:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.910000,5.900000,3.468750,3.468750,3.468750,3.468750,3.468750,3.468750,3.468750,3.468750,6.000000,6.000000,4.600000,4.600000
00/00/0000 03:15:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.910000,5.900000,3.437500,3.437500,3.437500,3.437500,3.437500,3.437500,3.437500,3.437500,6.000000,6.000000,4.600000,4.600000
00/00/0000 03:20:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.910000,5.900000,3.406250,3.406250,3.406250,3.406250,3.406250,3.406250,3.406250,3.406250,6.000000,6.000000,4.600000,4.600000
00/00/0000 03:25:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.910000,5.900000,3.375000,3.375000,3.375000,3.375000,3.375000,3.375000,3.375000,3.375000,6.000000,6.000000,4.600000,4.600000
